,place_name,review_text,review_rating
0,Vietinbank - PGD Yên Thái,Nv thấy dân lao động không thèm tiếp.ăn nói thiếu tôn trọng.khách hỏi trả có chút vấn đề cũng không biết trả lời thì  sai 8/9 phần,1
1,Vietinbank - PGD Yên Thái,Ngân hàng quá Tuyệt,5
2,Vietinbank - PGD Yên Thái,Đằng kia,5
3,Vietinbank - PGD Yên Thái,,5
4,Ngân Hàng Công Thương Việt Nam Vietinbank PGD Hồ Giám,"Nhân viên giao dịch tại quầy làm việc không khoa học, kg có số cho khách đến giao dịch nên kg phân biết thứ tự người đến trước - đến sau",1
5,Ngân Hàng Công Thương Việt Nam Vietinbank PGD Hồ Giám,"Nhân viên làm chậm, và vừa làm vừa buôn chuyện.
Thái độ nhân viên kém",1
6,Ngân Hàng Công Thương Việt Nam Vietinbank PGD Hồ Giám,"Dịch vụ tệ, nhân viên, bảo vệ thái độ, bơ khách hàng. Lịch làm việc Ngân hàng thông báo tới khách hàng là 16h30 đóng cửa, tôi đến lúc 16h20 thì nói hết giờ, đóng cửa từ lúc 16h15, làm việc rất vớ vẩn, nhân viên thì làm ngơ, bảo vệ thì đuổi khách.",1
7,Ngân Hàng Công Thương Việt Nam Vietinbank PGD Hồ Giám,Bảo là 16h30 đóng cửa nm thực chất 16h ra là đóng roi,1
8,Ngân Hàng Công Thương Việt Nam Vietinbank PGD Hồ Giám,Giao dịch viên làm việc khá tốt,5
9,Vietinbank Sở Giao Dịch Cửa Nam,Dịch vụ thám tử 247 rất uy tín và chuyên nghiệp với thương hiệu số 1 việt nam tôi tin là công ty thám tử 247 sẽ phát triển rất mạnh trong thời gian tới. Cảm ơn công ty đã hỗ trợ và giúp đỡ tôi trong thời gian qua,5
10,Vietinbank Sở Giao Dịch Cửa Nam,"công ty thám tử rất uy tín và chuyên nghiệp, có đội ngũ chuyên gia tư vấn rất nhiệt tình, nhân viên trinh thám làm việc rất hiệu quả, đáng đồng tiền bát gạo. Chúc thám tử 247 luôn phát triển vượt trôi.",5
11,Vietinbank Sở Giao Dịch Cửa Nam,"Văn phòng thám tử Hà nội tại đây rất đẹp và sạch sẽ, lễ tân phục vụ nhiệt tình, anh thám tử tư vấn chi tiết và báo giá hợp lý nên mình có làm hợp đồng theo dõi 10 ngày với họ và hài lòng với kết quả nhận được.",5
